,movieId,title
0,975900,Ghosts of Mars (2001-08-24)
1,9363483,White Of The Eye (1987)
2,18998739,The Sorcerer's Apprentice (2002)
3,6631279,Little city (1997-04-04)
4,171005,Henry V (1989-11-08)
5,11250635,The Mechanical Monsters ()
6,77856,Mary Poppins (1964-08-27)
7,156558,Baby Boy (2001-06-27)
8,9548445,Archie: To Riverdale and Back Again (1990-05-06)
9,2487170,Troops (1997)
10,25960460,Daddy and Them (2001)
11,261237,The Gods Must Be Crazy (1980)
12,4951456,Kinjite: Forbidden Subjects (1989)
13,5708633,The Great New Wonderful (2006-06-23)
14,12053509,Loverboy (1989-04-28)
15,1369204,Juarez (1939)
16,12371532,Chasing Ghosts: Beyond the Arcade (2007)
17,32104837,It Came Upon the Midnight Clear (1984-12-15)
18,2647998,The Human Tornado (1976)
19,1254263,Shivers (1975-10-10)
20,7028314,The Little Hut (1957-05-03)
21,25413122,Drums in the Deep South (1951)
22,5664529,Vixen! (1968)
23,5894429,Closing the Ring (2007-09-14)
24,12788657,The Boston Strangler (1968)
25,27556929,Deadly Voyage (1996)
26,30246289,33 Scenes from Life (2008-08-10)
27,29375144,The High Cost of Living (2011-04-22)
28,2154704,Choke Canyon (1986-05-02)
29,28301986,Dig That Uranium (1956-01-08)
30,33059372,ChromeSkull: Laid to Rest 2 (2011-09-20)
31,3740032,Desperate (1947-05-09)
32,2659373,The Iron Maiden (1963-06-07)
33,9380065,Alien Express (2005-08-13)
34,164387,...And Justice for All (1979-06-29)
35,28937087,Children of Glory (2006-10-23)
36,7767613,Star! (1968-07-18)
37,24863901,1 a Minute (2010)
38,1630107,A Zed & Two Noughts (1985)
39,11717027,Is There a Doctor in the Mouse? ()
40,3550323,Things to Do in Denver When You're Dead (1995-10)
41,1765938,Convoy (1978)
42,7460227,The Bridge (2006-09-01)
43,21878654,SpongeBob vs. The Big One (2009)
44,18902861,14 Going on 30 ()
45,1305819,C.H.U.D. (1984-08-31)
46,6752142,Good Morning Miss Dove (1955)
47,180917,Valiant Is the Word for Carrie (1936-10-07)
48,6305925,The Astronaut Farmer (2006-10-15)
49,196176,Straw Dogs (1971-11-03)
50,33872851,The Lone Wolf Meets a Lady (1940-05-30)
51,2509881,Critters 3 (1991)
52,12832450,Cipher in the snow (1974)
53,13091003,Kibera Kid (2006-08)
54,26137128,The Bone Snatcher (2003-12-23)
55,16304395,Enemy Territory (1987-05-22)
56,336846,Grease (1978-06-16)
57,27463222,Vanishing on 7th Street (2010-09-12)
58,3249964,House by the River (1950-03-25)
59,11692389,The Snow Queen (2005-12-24)
60,3829646,What Have I Done To Deserve This? (1984-10-25)
61,3033993,Becoming Jane (2007-03-02)
62,12491178,A Broken Life (2007)
63,5696825,The Dark Half (1993-04-23)
64,30405742,Plug & Pray (2010)
65,103021,Midnight Express (1978-08-31)
66,33144131,Fly Away (2010)
67,1940449,RoboCop 3 (1993-11-05)
68,5261530,Carter’s Army (1970)
69,5384210,Gagamboy (2004)
70,30109815,Rogues' Regiment (1948-09-28)
71,29551629,Tradition is a Temple (2011)
72,27365295,Hell Boats (1970-03-20)
73,6703617,The Forbidden Kingdom (2008-04-04)
74,21737016,Eagle's Wing (1979)
75,19389755,Asylum Seekers (2009)
76,362719,Superman (1978-12-10)
77,2870618,Boy called Twist (2004)
78,22308889,Ken Russell's Fall of the Louse of Usher (2002-02-03)
79,7696753,Lord of the Flies (1963-08-13)
80,17379289,Without Warning (1980-11-26)
81,13919299,The Devil’s Gift (1984)
82,10705531,On the Beach (2000)
83,4459059,Trial and Error (1997-05-30)
84,4069274,When Will I Be Loved (2004-09-10)
85,1643787,From the Drain (1967)
86,3681139,Necessary Roughness (1991-09-27)
87,26205476,Song of the Islands (1942-03-13)
88,5685826,The Aviary (2005-06-14)
89,5549065,Sweeney Todd: The Demon Barber of Fleet Street (2007-12-03)
90,14739568,Hula-La-La (1951-11-01)
91,37067980,The Lady from Peking (1975-11-13)
92,171058,Chaplin (1992-12-25)
93,2608958,Nothing to Lose (1997-07-18)
94,21618909,Barah Aana (2009-03-20)
95,26624119,Beyond the Time Barrier (1960-07)
96,2546429,Friday the 13th: The Final Chapter (1984-04-13)
97,25947106,The Stoker (1932-06-15)
98,31686022,I'm Losing You (1998-09-17)
99,24416479,Beastmaster 2: Through the Portal of Time (1991-08-31)
100,14773122,Amy (1981)
101,14881706,The Enemy (1927-12-08)
102,24053482,Daughters (1997)
103,3883051,National Lampoon's Class Reunion (1982-10-29)
104,34530005,I Will Repay (1923)
105,21236198,Thief of Damascus (1952-04)
106,33519683,Chick Magnet (2011)
107,17594419,Green Dolphin Street (1947-11-05)
108,207680,Nell (1994-12-14)
109,7489503,Keep in Style (1933-11-16)
110,1858682,Monkey Business (1952)
111,12802045,The Man with the Perfect Swing (1995)
112,7235116,Someone to Watch Over Me (1987-10-09)
113,24862266,Monsters Crash the Pajama Party (1965)
114,5254729,I Could Never Be Your Woman (2007-05-11)
115,19168185,9 Dead Gay Guys (2003-09-19)
116,24291753,The Careless Years (1957-09-02)
117,9560806,Sharpe's Siege (1996-05-08)
118,20506905,Perrier's Bounty (2010-05-21)
119,30624204,Salvage with a Smile (1940)
120,28178412,Mamarazzi (2010-08-25)
121,14109452,Crime Doctor (1943-06-22)
122,4783144,Suburban Girl (2007)
123,12384049,College Coach (1933-11-04)
124,6004372,Grace of My Heart (1996-09-08)
125,4473622,Images (1972-12-18)
126,3867110,How They Get There (1997)
127,10366326,God's Gift to Women (1931)
128,1924820,The Seinfeld Chronicles (1989)
129,2093270,The Gorgon (1964)
130,22332882,The Prime of Miss Jean Brodie (1969)
131,11686007,Sioux City (1994)
132,9384481,Count Your Blessings (1959)
133,22557257,The Moment After 2: The Awakening (2006-05-28)
134,8637169,Garage Days (2002-10-03)
135,7731853,"Laugh, Clown, Laugh (1928)"
136,12091274,Puccini for Beginners (2007-02-02)
137,856733,A Shot in the Dark (1964-06-23)
138,8887199,The Angels Wash Their Faces (1939-08-26)
139,76345,Shaft (1971-06-25)
140,7582987,The Ghost of Slumber Mountain ()
141,24021571,Just Wright (2010-05-14)
142,1854612,Casper: A Spirited Beginning (1997-09-09)
143,11696799,Breaking the Surface: The Greg Louganis Story (1997-03-19)
144,4926447,The Big Trees (1952)
145,20713032,Bhopal: Prayer for Rain (2012)
146,1226289,Bless the Child (2000-08-11)
147,20393685,Secrets (1924-03-24)
148,12061267,Grizzly II: The Predator (1987)
149,3475071,The Program (1993-09-24)
150,2450188,Flesh (1968)
151,20611297,Pink Blue Plate ()
152,3459253,Secret of the Telegian (1960-04-10)
153,44218,San Francisco (1936-06-26)
154,1135297,13 Ghosts (1960-07)
